Name,URL,Premium,Published,Last updated,Editor type,Date created
Tracy Jones,https://thespeakerlab.wixsite.com/tracy-jones,FALSE,TRUE,2026-01-19T23:29:27.998Z,EDITOR,2025-10-24T22:13:53.917Z
Neneh Biffinger,https://thespeakerlab.wixsite.com/neneh-biffinger,FALSE,TRUE,2026-01-19T21:13:42.812Z,EDITOR,2025-12-10T22:34:39.873Z
Pakinam Elhossamy,https://thespeakerlab.wixsite.com/paky-elhossomy,FALSE,TRUE,2026-01-19T17:54:13.402Z,EDITOR,2025-11-04T21:36:00.754Z
Saroni Kundu,,FALSE,FALSE,2026-01-19T04:10:28.319Z,EDITOR,2025-11-25T22:20:51.689Z
Raina Gandhi,https://www.risingtideconsultingllc.com/,TRUE,TRUE,2026-01-16T02:29:40.224Z,EDITOR,2024-12-02T22:53:59.690Z
Charles Gragg ,https://thespeakerlab.wixsite.com/charles-gragg,FALSE,TRUE,2026-01-16T01:27:21.408Z,EDITOR,2025-12-17T20:29:29.844Z
Ronnie Stephens,https://thespeakerlab.wixsite.com/ronnie-stephens,FALSE,TRUE,2026-01-16T00:32:22.660Z,EDITOR,2025-12-03T22:48:32.972Z
Ravin Souvendra Papiah ,https://thespeakerlab.wixsite.com/ravin-papiah,FALSE,TRUE,2026-01-16T00:18:55.117Z,EDITOR,2025-12-03T22:43:45.663Z
Tycho Bergquist,https://thespeakerlab.wixsite.com/tycho-bergquist,FALSE,TRUE,2026-01-15T21:28:10.296Z,EDITOR,2025-12-08T23:22:41.699Z
Mark DeCarlo,https://www.markdecarlospeaker.com/,TRUE,TRUE,2026-01-15T06:55:22.133Z,EDITOR,2024-05-20T17:32:17.294Z
Philip Brittain,https://thespeakerlab.wixsite.com/philip-brittain,FALSE,TRUE,2026-01-14T23:12:12.549Z,EDITOR,2025-12-08T23:19:30.617Z
Crystal Mackay,https://thespeakerlab.wixsite.com/crystal-mackay,FALSE,TRUE,2026-01-14T21:31:38.386Z,EDITOR,2025-12-03T22:46:27.878Z
Ann Kerian,https://thespeakerlab.wixsite.com/ann-kerian,FALSE,TRUE,2026-01-14T20:50:44.024Z,EDITOR,2025-12-17T20:00:52.732Z
Debi Taylor,https://www.debitaylor.com/,TRUE,TRUE,2026-01-14T08:59:52.064Z,EDITOR,2024-11-19T01:17:01.267Z
Diane Bradford ,https://www.dianebradford.com/,TRUE,TRUE,2026-01-13T23:06:17.477Z,EDITOR,2024-09-30T23:55:16.466Z
Kari Ehmer,https://www.kariehmer.com/,TRUE,TRUE,2026-01-13T08:26:22.886Z,EDITOR,2025-02-24T22:50:00.334Z
Joshua Johnson,https://www.joshuajohnson.me/,TRUE,TRUE,2026-01-12T04:26:17.516Z,EDITOR,2025-03-12T21:42:50.609Z
Yahya Radman,,FALSE,FALSE,2026-01-10T02:56:24.193Z,EDITOR,2026-01-10T02:56:24.193Z
Debra Gonsher Vinik,https://www.gratitudewrangler.com/,TRUE,TRUE,2026-01-10T01:37:58.176Z,EDITOR,2025-11-21T22:38:24.370Z
Debjani Biswas,https://thespeakerlab.wixsite.com/debjani-biswas,FALSE,TRUE,2026-01-09T23:16:28.060Z,EDITOR,2025-10-31T23:53:52.943Z
Ashley Eichorn,https://www.ashleyeichornspeaks.com/,TRUE,TRUE,2026-01-08T19:04:17.972Z,EDITOR,2024-10-28T19:31:45.313Z
Courageous Fire,https://thespeakerlab.wixsite.com/courageous-fire,FALSE,TRUE,2026-01-07T17:19:56.482Z,EDITOR,2025-11-11T04:02:43.347Z
Giselle Sandy Phillips,https://thespeakerlab.wixsite.com/giselle-s-phillips,FALSE,TRUE,2026-01-07T16:29:49.870Z,EDITOR,2025-11-20T23:51:35.827Z
Maia O'Brien,https://www.maiaobrien.com/,TRUE,TRUE,2026-01-06T23:16:11.128Z,EDITOR,2025-08-20T22:37:10.113Z
Brenda McAdoo,https://thespeakerlab.wixsite.com/brenda-mcadoo,FALSE,TRUE,2026-01-05T23:57:18.025Z,EDITOR,2025-12-10T22:34:19.941Z
Rodney Schlosser,https://www.rodneyschlosser.com/,TRUE,TRUE,2025-12-30T11:30:17.443Z,EDITOR,2025-01-03T20:20:07.178Z
Erin Zandstra,https://thespeakerlab.wixsite.com/erin-zandstra,FALSE,TRUE,2025-12-22T19:29:02.968Z,EDITOR,2025-12-05T21:57:48.284Z
Chelsea Ambrose ,https://www.chelseaambrose.com/,TRUE,TRUE,2025-12-20T08:43:29.235Z,EDITOR,2024-06-14T00:04:03.721Z
Jarrod Day,https://thespeakerlab.wixsite.com/jarrod-day,FALSE,TRUE,2025-12-18T20:53:19.395Z,EDITOR,2025-12-03T22:38:14.875Z
Crystal Culp,https://thespeakerlab.wixsite.com/crystal-culp,FALSE,TRUE,2025-12-18T19:11:52.793Z,EDITOR,2025-12-03T22:35:29.512Z
Sandy Vecchi,https://www.sandyvecchi.com/,TRUE,TRUE,2025-12-17T18:50:57.428Z,EDITOR,2025-09-24T21:59:14.632Z
Laura Young,https://thespeakerlab.wixsite.com/laura-young,FALSE,TRUE,2025-12-17T00:15:19.483Z,EDITOR,2025-11-08T00:00:46.331Z
Ron Bush ,https://www.growdisciples.net/,TRUE,TRUE,2025-12-16T23:32:56.979Z,EDITOR,2025-04-25T22:21:01.721Z
Mary Curran Hackett,https://thespeakerlab.wixsite.com/mary-curran-hackett,FALSE,TRUE,2025-12-16T20:48:00.010Z,EDITOR,2025-11-13T20:53:11.625Z
Laura Young Redo,,FALSE,FALSE,2025-12-16T20:08:37.672Z,EDITOR,2025-12-09T23:33:00.007Z
David King,https://thespeakerlab.wixsite.com/david-king,FALSE,TRUE,2025-12-16T17:51:14.421Z,EDITOR,2025-11-25T21:25:47.353Z
kyle bunch,https://kyle2402.wixsite.com/mysite,FALSE,TRUE,2025-12-15T03:52:36.667Z,EDITOR,2024-06-03T21:13:45.941Z
Louis Camassa,https://www.louiscamassa.com/,TRUE,TRUE,2025-12-09T12:13:31.687Z,EDITOR,2025-08-20T22:29:42.780Z
Mo Nelson,https://www.monelsonspeaks.com/,TRUE,TRUE,2025-12-05T04:55:11.982Z,EDITOR,2025-07-28T15:38:23.759Z
Marti Ouellette,https://www.martiouellette.com/,TRUE,TRUE,2025-12-04T19:51:09.942Z,EDITOR,2025-05-30T00:48:30.560Z
Bear Murray ,https://thespeakerlab.wixsite.com/bear-murray,FALSE,TRUE,2025-12-03T20:05:20.578Z,EDITOR,2025-08-20T22:32:33.711Z
Kathy Walterhouse,https://www.kathywalterhouse.com/,TRUE,TRUE,2025-12-01T22:01:19.874Z,EDITOR,2025-09-11T22:24:35.884Z
Luther Simmons,https://thespeakerlab.wixsite.com/luther-simmons,FALSE,TRUE,2025-12-01T21:22:43.264Z,EDITOR,2025-10-27T17:50:57.033Z
Beth Guyton,https://thespeakerlab.wixsite.com/beth-guyton,FALSE,TRUE,2025-11-25T22:26:40.334Z,EDITOR,2025-11-07T23:58:18.988Z
